"EntityId","Labels","Domain","SourceFile"
"automation.hall_fjarrkontroll","Area: Hall; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hall_slack_belysning","Area: Hall; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.halltakbelysning_input_select","Area: Hall; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.halltakbelysning_resolver","Area: Hall; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hassbian_startad","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hassbian_stoppad","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hassbian_uppdatering","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hem_borta_status_styrning","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.hog_temp_franluft","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.hog_temp_tilluft","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.hog_temperatur_larm","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.husvagn_mogelvarning","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\climate\diagnostics.yaml"
"automation.initialize_camera_snapshot_directories","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.innebelysning","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.innebelysning_resolver","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.input_select_light_control","Automation; LED","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-packages-detailed.yaml"
"automation.kitchen_light_off_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.kitchen_light_off_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
